time_s,dr_x_m,dr_y_m,ref_x_m,ref_y_m,pos_error_m
0.0,0.0,0.0,0.0,0.0,0.0
0.0999999999999996,-0.0007548545951913551,0.007723431101530652,-0.26514003958072113,-0.4926244470495365,0.5659041661006817
0.1989999999999998,0.002209346327885246,0.009919805523794666,-0.5082453840869664,-0.9887530698370346,1.1215665578931842
0.2989999999999999,0.001845594249011439,0.017167964803964923,-0.7632054421638097,-1.4870157291896628,1.6875638280055207
0.3999999999999999,0.0016283224471869196,0.02320930618654271,-1.0201211051664596,-1.9937309921617414,2.2609776778929245
0.4989999999999996,0.005004163284304928,0.02792968354884734,-1.2674376283769344,-2.495710971198087,2.8262820573073735
0.5999999999999996,0.012841737917600935,0.028593906489131096,-1.5151041834459733,-3.015725276653621,3.406243976502936
0.6999999999999997,0.028323737147906078,0.018861851278863705,-1.7595185771629875,-3.536192954943044,3.9792957688618746
0.7999999999999998,0.04595746430930857,0.003926148128649106,-2.0097439193843005,-4.055125793040489,4.549924267504764
0.899,0.07350389925374348,-0.018308993040233354,-2.2536437118144357,-4.570996555390514,5.112981521977101
1.0,0.10660298494482912,-0.04685630211582733,-2.486017097451644,-5.103536803763065,5.682578339749031
1.0989999999999998,0.16694801568004272,-0.08390208075689534,-2.722248678410583,-5.6172667399738465,6.242241743878182
1.1990000000000005,0.23232726429549758,-0.12410534547292762,-2.9626260468568337,-6.131990501205156,6.804587474998826
1.299,0.306947638206887,-0.16837952404319384,-3.195960703243391,-6.639033460259724,7.357970454607467
1.3989999999999996,0.3823195383057262,-0.2211870332591371,-3.427018899931615,-7.150932855333371,7.9077453484281985
1.4999999999999996,0.47595938488268513,-0.290594326551054,-3.6704335074475534,-7.658364540927987,8.454384185109323
1.5989999999999998,0.5824414401561284,-0.3656777704722059,-3.908526533090956,-8.149642749952612,8.986595803668285
1.6999999999999995,0.7029107294086608,-0.45268632152965005,-4.144622434562425,-8.640981669660398,9.515606049223516
1.799,0.8301064104528165,-0.5506474185211929,-4.377269609861958,-9.115944137888485,10.024024785870866
1.9,0.9647501612944112,-0.661470200522374,-4.616762348030722,-9.590285435810074,10.529815924205831
1.999,1.1061222594986342,-0.7775967810828416,-4.850967501395107,-10.047264019430937,11.018786191275746
2.099,1.2603009948623018,-0.9059729611613248,-5.083462595177848,-10.501901533652449,11.503268303168046
2.2,1.4247886936110141,-1.04476142838556,-5.3200761162149455,-10.95216372208982,11.985400348429126
2.299,1.5943465892486473,-1.1882484538261238,-5.545501829568615,-11.382164064890095,12.445615731219613
2.399,1.7781255533616616,-1.3436155696389236,-5.7713596660759965,-11.808314516186911,12.903668126559603
2.499,1.9710195285499579,-1.5127644128134354,-5.9919766665543595,-12.222522219984688,13.345719189744381
2.6,2.1750451968058973,-1.6907457142545443,-6.213573479013725,-12.631827482322096,13.78681230538263
2.6990000000000003,2.3853055479574055,-1.874386939845197,-6.4290687898788175,-13.017814383160443,14.208067080075923
2.8000000000000003,2.609840333223146,-2.0719361193059744,-6.6415767915816,-13.401710252147002,14.627115256205652
2.9,2.851521414554034,-2.279985752002896,-6.846434653475744,-13.771222777537286,15.036584727738147
2.999,3.096897001567577,-2.4952685424664245,-7.046150395559625,-14.124732194565954,15.431326428271584
3.1,3.3558037242342826,-2.7258867460863536,-7.244421865439068,-14.473186453451827,15.822889526462436
3.2,3.621374922590615,-2.9658773659489297,-7.435506903658241,-14.80613868302966,16.20019826349019
3.3000000000000003,3.9007721338784735,-3.2123463681584714,-7.6223953697827875,-15.127399966630703,16.57564151313309
3.4,4.189471898263015,-3.4662820732217448,-7.797365232624895,-15.435966656400451,16.939823299645692
3.499,4.4880490719948885,-3.7270590208281975,-7.967497711794566,-15.731924672692598,17.2990590785303
3.6,4.799699754905397,-3.999885862445824,-8.13277926515978,-16.022648305775807,17.657741372360505
3.7,5.121817655706866,-4.284269155233978,-8.292061854365091,-16.297624255315377,18.007022637609474
3.799,5.451176872841196,-4.574190916334717,-8.4391621916128,-16.560840967941754,18.347242266487562
3.899,5.794142421304068,-4.874067426105605,-8.58483385979183,-16.809537998977394,18.68717251721637
4.0,6.152882338192279,-5.184054424940085,-8.718667241160635,-17.051956750522805,19.026562813622526
4.1,6.51321298368279,-5.497618401440126,-8.852834035307577,-17.277256029650342,19.361695784248052
4.199,6.886533373514321,-5.820937440393252,-8.981223718199656,-17.487398728302335,19.694974843952465
4.299,7.280156572351065,-6.159292766465394,-9.090709791127919,-17.693934577255607,20.026313370016894
4.4,7.686156781647688,-6.506658438454902,-9.199418774760474,-17.886116184644877,20.36209027748605
4.5,8.104248528887656,-6.860247017995838,-9.302305780310082,-18.060853390899094,20.698833687910327
4.599,8.528299877316835,-7.217495715978478,-9.396136474328678,-18.223711000340536,21.033834491359773
4.699999999999999,8.972709571598724,-7.592035329907185,-9.48805772240732,-18.37434947143622,21.378920162862766
4.799,9.415624156571413,-7.969356575529545,-9.572766628620599,-18.50869067260801,21.717194750266565
4.898999999999999,9.872648222401661,-8.355624088757917,-9.651543521715611,-18.63289241909494,22.063914149461457
5.0,10.34338652565104,-8.750049246023622,-9.721165108256274,-18.7491479268799,22.418033069367045
5.099,10.812690006275941,-9.1423006264517,-9.78209720009318,-18.853192673856373,22.769424332467707
5.199,11.295275617486528,-9.545522555033434,-9.837890653552625,-18.94908398709056,23.130881614107558
5.299999999999999,11.788597916154398,-9.957147416046324,-9.889729578104378,-19.035765737773055,23.50257844535208
5.399999999999999,12.283708880339336,-10.368692617051067,-9.936113190180436,-19.111918577347495,23.878117451724684
5.5,12.785065422015478,-10.783953823083182,-9.97568112843709,-19.1811284825502,24.260340595208746
5.6,13.29097210609244,-11.20369792076517,-10.012962565114318,-19.24298431381922,24.651642883779903
5.699999999999999,13.801838317641971,-11.625467779300003,-10.0461539077195,-19.298223984308727,25.051904537627497
5.799,14.312083781101089,-12.044470551729916,-10.074626614437767,-19.346650839473607,25.45650174062798
5.898999999999999,14.832273839999093,-12.470654818180796,-10.099926547845167,-19.390173210415092,25.874588904175663
5.998999999999999,15.355426613761884,-12.897237606395445,-10.122489120724893,-19.429169147261653,26.301907151919075
6.1,15.885425034353341,-13.329034610218653,-10.140857974956528,-19.465151715182976,26.739845556893695
6.199,16.408974231209573,-13.755427251393362,-10.157516378420128,-19.49713413667665,27.17987529897907
6.301,16.949680376040067,-14.19536983630062,-10.174177710622372,-19.524437473826204,27.64240654123164
6.398999999999999,17.472209160134394,-14.61734676923432,-10.188609120524651,-19.548194283323635,28.096870380219258
6.498999999999999,18.006567439850762,-15.048353345439637,-10.202225284674762,-19.56985316183296,28.568863252934808
6.599,18.541705989945445,-15.480570376402232,-10.213958758617549,-19.588764410927567,29.047642130766103
6.699999999999999,19.080717480777526,-15.915235583684831,-10.213958758617549,-19.588764410927567,29.524106591318926
6.799,19.60936178319751,-16.340108335281556,-10.213958758617549,-19.588764410927567,29.999736906141024
6.898999999999999,20.14524041610819,-16.76882715173053,-10.213958758617549,-19.588764410927567,30.48988390723185
7.0,20.688038717039294,-17.201726272303397,-10.213958758617549,-19.588764410927567,30.99405425336847
7.099,21.224567884403214,-17.62730910348954,-10.213958758617549,-19.588764410927567,31.499654988697944
7.199,21.767027176546822,-18.056841215460764,-10.213958758617549,-19.588764410927567,32.01765528676312
7.298999999999999,22.308201186833152,-18.485573539484015,-10.213958758617549,-19.588764410927567,32.540865348301885
7.399999999999999,22.852357674847255,-18.917309447450723,-10.213958758617549,-19.588764410927567,33.073133118076406
7.498999999999999,23.38461927610695,-19.339655284898818,-10.213958758617549,-19.588764410927567,33.59950150392327
7.599,23.917982984503755,-19.764615058531906,-10.213958758617549,-19.588764410927567,34.13239473881212
7.699,24.44787327115938,-20.186071219666296,-10.213958758617549,-19.588764410927567,34.66697816487955
7.798999999999999,24.97651192153448,-20.605373067060594,-10.213958758617549,-19.588764410927567,35.20515189358461
