time_s,gps_x,gps_y,dr_x,dr_y,gps_available,estimated_heading_deg,speed_mps,position_error_m
0.0,0.0,0.0,0.0,0.0,True,60.96725000001208,5.611111111111111,0.0
0.1,-0.48901249802586205,-0.25603482944365946,-0.48901249802586205,-0.25603482944365946,True,60.60725000001208,5.5944444444442425,0.0
0.199,-0.9664109492278136,-0.46542679115409324,-0.9664109492278136,-0.46542679115409324,True,59.99725000001207,5.580694444444043,0.0
0.299,-1.4620794506766868,-0.7099957117018658,-1.4620794506766868,-0.7099957117018658,True,59.637250000012074,5.597055555555079,0.0
0.4,-1.9560499921034482,-0.9573476209361944,-1.9560499921034482,-0.9573476209361944,True,59.11725000001208,5.624999999999595,0.0
0.499,-2.4401723651365343,-1.1887808420654533,-2.4401723651365343,-1.1887808420654533,True,56.81725000001208,5.652499999999996,0.0
0.6,-2.9408668283944297,-1.4248894821948754,-2.9408668283944297,-1.4248894821948754,True,59.11725000001208,5.702777777778465,0.0
0.7,-3.450254847183309,-1.6586604132197018,-3.450254847183309,-1.6586604132197018,True,59.75725000001208,5.750000000000323,0.0
0.8,-3.9528510257027674,-1.9035632926629724,-3.9528510257027674,-1.9035632926629724,True,59.99725000001207,5.761111111110787,0.0
0.899,-4.463869086150877,-2.1239758844783054,-4.463869086150877,-2.1239758844783054,True,60.697250000012076,5.763861111111071,0.0
1.0,-4.985210743774122,-2.3265773578749602,-4.985210743774122,-2.3265773578749602,True,60.417250000012075,5.752777777777778,0.0
1.099,-5.489504882391097,-2.558010579004219,-5.489504882391097,-2.558010579004219,True,60.64725000001208,5.711527777777177,0.0
1.199,-5.992168979303599,-2.791781510029046,-5.992168979303599,-2.791781510029046,True,61.20725000001208,5.680861111110226,0.0
1.299,-6.501489079639111,-3.0145318101580014,-6.501489079639111,-3.0145318101580014,True,60.777250000012074,5.581555555558408,0.0
1.399,-6.997429254735558,-3.226150163450458,-6.997429254735558,-3.226150163450458,True,58.43725000001208,5.616305555555024,0.0
1.5,-7.484607955907982,-3.473168112998316,-7.484607955907982,-3.473168112998316,True,58.39725000001208,5.572222222222222,0.0
1.599,-7.968730328956149,-3.693580704022676,-7.968730328956149,-3.693580704022676,True,60.18725000001208,5.514472222221382,0.0
1.7,-8.455841111735529,-3.9295780250475807,-8.455841111735529,-3.9295780250475807,True,59.887250000012074,5.397222222220606,0.0
1.799,-8.92651564104602,-4.1499906168629135,-8.92651564104602,-4.1499906168629135,True,60.48725000001208,5.342222222223807,0.0
1.9,-9.393115066261219,-4.385987937887817,-9.393115066261219,-4.385987937887817,True,60.22725000001208,5.2611111111122835,0.0
1.999,-9.843617830078308,-4.6174211582261036,-9.843617830078308,-4.6174211582261036,True,60.14725000001208,5.1868611111111225,0.0
2.099,-10.291947205001339,-4.851192090041903,-10.291947205001339,-4.851192090041903,True,60.78725000001208,5.10636111110995,0.0
2.2,-10.73789943585119,-5.076168780170936,-10.73789943585119,-5.076168780170936,True,60.25725000001208,5.03611111110723,0.0
2.299,-11.161506512238175,-5.296581371986269,-11.161506512238175,-5.296581371986269,True,60.767250000012076,4.904111111114914,0.0
2.399,-11.582668526158933,-5.519220353010707,-11.582668526158933,-5.519220353010707,True,60.90725000001208,4.823027777778962,0.0
2.499,-11.990314777994218,-5.730838706303163,-11.990314777994218,-5.730838706303163,True,61.887250000012074,4.692972222222241,0.0
2.6,-12.395108456914537,-5.955592757432188,-12.395108456914537,-5.955592757432188,True,62.31725000001208,4.608333333331231,0.0
2.699,-12.778372002269473,-6.176005350038493,-12.778372002269473,-6.176005350038493,True,60.37725000001208,4.46533333332915,0.0
2.8,-13.149002724708806,-6.40087072106301,-13.149002724708806,-6.40087072106301,True,62.03725000001208,4.344444444447921,0.0
2.9,-13.508970257992713,-6.612377753669003,-13.508970257992713,-6.612377753669003,True,62.11725000001208,4.225000000001739,0.0
2.999,-13.858614194056246,-6.810749086065511,-13.858614194056246,-6.810749086065511,True,62.71725000001208,4.101250000000018,0.0
3.1,-14.201737963528096,-7.013127920462157,-14.201737963528096,-7.013127920462157,True,63.67725000001208,3.9694444444425443,0.0
3.2,-14.520954455301053,-7.213503003858735,-14.520954455301053,-7.213503003858735,True,62.10725000001208,3.838888888885332,0.0
3.3,-14.81979542629591,-7.402746138045897,-14.81979542629591,-7.402746138045897,True,64.34725000001208,3.716666666670224,0.0
3.4,-15.118636397320932,-7.603121221442473,-15.118636397320932,-7.603121221442473,True,64.52725000001207,3.5472222222246876,0.0
3.499,-15.394317193076091,-7.790471924525055,-15.394317193076091,-7.790471924525055,True,64.12725000001208,3.4482222222222365,0.0
3.6,-15.68235913809928,-7.959343591397963,-15.68235913809928,-7.959343591397963,True,62.45725000001208,3.3111111111091707,0.0
3.7,-15.954032748137106,-8.126322827957264,-15.954032748137106,-8.126322827957264,True,65.24725000001207,3.1777777777738967,0.0
3.799,-16.216265700184756,-8.280611642307093,-16.216265700184756,-8.280611642307093,True,63.667250000012075,3.045777777781581,0.0
3.899,-16.440803938860785,-8.436458929656979,-16.440803938860785,-8.436458929656979,True,66.10725000001207,2.882194444446853,0.0
4.0,-16.687551495168357,-8.571600791588084,-16.687551495168357,-8.571600791588084,True,63.717250000012086,2.7416666666666663,0.0
4.1,-16.904890383171473,-8.705184179728164,-16.904890383171473,-8.705184179728164,True,62.67725000001208,2.622222222220242,0.0
4.199,-17.113331960479563,-8.84845236555504,-17.113331960479563,-8.84845236555504,True,64.40725000001208,2.4874722222182806,0.0
4.299,-17.31715508636704,-8.938064554752959,-17.31715508636704,-8.938064554752959,True,64.38725000001207,2.3376111111153888,0.0
4.4,-17.51615600570003,-9.039142652055792,-17.51615600570003,-9.039142652055792,True,65.19725000001208,2.186111111113293,0.0
4.5,-17.68595201196802,-9.139330194149569,-17.68595201196802,-9.139330194149569,True,63.907250000012084,2.0277777777777777,0.0
4.599,-17.854050058153568,-9.21647460171997,-17.854050058153568,-9.21647460171997,True,64.12725000001208,1.8985277777758967,0.0
4.7,-17.998376663486635,-9.30630943070887,-17.998376663486635,-9.30630943070887,True,63.61725000001208,1.747222222218018,0.0
4.799,-18.132855100441105,-9.372433207383398,-18.132855100441105,-9.372433207383398,True,63.557250000012075,1.6042222222263414,0.0
4.899,-18.261967983606265,-9.42820427332597,-18.261967983606265,-9.42820427332597,True,63.57725000001208,1.4707777777797373,0.0
5.0,-18.37871971748832,-9.49555256489603,-18.37871971748832,-9.49555256489603,True,65.24725000001207,1.3416666666666666,0.0
5.099,-18.493026388919223,-9.539635082942707,-18.493026388919223,-9.539635082942707,True,65.29725000001207,1.2179166666648655,0.0
5.199,-18.5815919857978,-9.584162879780374,-18.5815919857978,-9.584162879780374,True,64.87725000001208,1.1094166666635297,0.0
5.3,-18.663977008019742,-9.629135953036108,-18.663977008019742,-9.629135953036108,True,63.39725000001208,1.0000000000031533,0.0
5.4,-18.745479091026564,-9.673663749873775,-18.745479091026564,-9.673663749873775,True,63.16725000001208,0.8916666666682427,0.0
5.5,-18.81339749352471,-9.707059598292997,-18.81339749352471,-9.707059598292997,True,63.74725000001207,0.7972222222222223,0.0
5.6,-18.854148535035662,-9.7404554443393,-18.854148535035662,-9.7404554443393,True,63.43725000001208,0.7222222222210907,0.0
5.7,-18.91527509724931,-9.773851291967551,-18.91527509724931,-9.773851291967551,True,65.61725000001208,0.6444444444421806,0.0
5.799,-18.94889470652563,-9.78487192207245,-18.94889470652563,-9.78487192207245,True,63.517250000012076,0.5674444444466624,0.0
5.899,-18.989577829613378,-9.818045129909718,-18.989577829613378,-9.818045129909718,True,63.637250000012074,0.5034166666676057,0.0
