metric_group,metric,value
residual,residual_dx_MAE,0.7879086600546759
residual,residual_dx_RMSE,0.8257054705416705
residual,residual_dx_R2,-10.88850258845697
residual,residual_dy_MAE,0.9566052878299787
residual,residual_dy_RMSE,1.0069496394026691
residual,residual_dy_R2,-9.041063240631651
physics_only,position_mae_m,262.65506056085474
physics_only,position_rmse_m,265.78928667224073
physics_only,final_position_error_m,333.20671249678986
physics_only,maximum_position_error_m,333.20671249678986
physics_only,drift_rate_mps,37.8643991473625
hybrid_ml,position_mae_m,229.52276093309837
hybrid_ml,position_rmse_m,230.6131071865624
hybrid_ml,final_position_error_m,270.2960995489472
hybrid_ml,maximum_position_error_m,270.2960995489472
hybrid_ml,drift_rate_mps,30.71546585783492
comparison,RMSE_improvement_percent,13.234611494727405
comparison,final_error_improvement_percent,18.880355823698704
